event_id,fight_id,fighter,w,str,td,sub,pass,weight_class,win_by,method,round,time,date,location,attendance,event_name,url
510,5529,Paul Felder,L,110,0,0,0,Lightweight,S-DEC,,5,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/5fceb95c29d929bc
510,5528,Jimmy Crute,W,2,8,1,4,Light Heavyweight,SUB,Kimura,1,3:29,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/2b417eb1ffa56ac1
510,5528,Michal Oleksiejczuk,L,3,0,0,0,Light Heavyweight,SUB,Kimura,1,3:29,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/2b417eb1ffa56ac1
510,5527,Xiaonan Yan,W,93,5,0,3,Women's Strawweight,U-DEC,,3,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/060987bb3025a0a8
510,5527,Karolina Kowalkiewicz,L,38,0,1,0,Women's Strawweight,U-DEC,,3,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/060987bb3025a0a8
510,5526,Marcos Rogerio de Lima,W,19,0,0,0,Heavyweight,KO/TKO,Punch,1,1:28,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/9bc18b63b07bb328
510,5526,Ben Sosoli,L,5,0,0,0,Heavyweight,KO/TKO,Punch,1,1:28,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/9bc18b63b07bb328
510,5525,Brad Riddell,W,38,1,0,2,Lightweight,S-DEC,,3,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/6d48f75153e4ad6b
510,5525,Magomed Mustafaev,L,28,8,0,0,Lightweight,S-DEC,,3,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/6d48f75153e4ad6b
510,5524,Zubaira Tukhugov,W,28,0,0,0,Featherweight,KO/TKO,Punches,1,3:21,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/f882cf76a8bce308
510,5524,Kevin Aguilar,L,9,0,0,0,Featherweight,KO/TKO,Punches,1,3:21,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/f882cf76a8bce308
510,5523,Jalin Turner,W,55,0,3,4,Lightweight,KO/TKO,Punches,2,3:01,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/02bdb7a5b2986571
510,5523,Josh Culibao,L,12,0,0,0,Lightweight,KO/TKO,Punches,2,3:01,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/02bdb7a5b2986571
