first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Austin,Arnett,Austin Arnett,Golden Boy,"6' 0""",145 lbs.,"72.0""",Orthodox,16.0,6.0,0.0,http://www.ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo,Arona,Ricardo Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14.0,5.0,0.0,http://www.ufcstats.com/fighter-details/05fbfe628658c538
Chalid,Arrab,Chalid Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7.0,3.0,0.0,http://www.ufcstats.com/fighter-details/770b9d4813c25902
Akbarh,Arreola,Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23.0,10.0,1.0,http://www.ufcstats.com/fighter-details/c136b2a8852da5bd
Matt,Arroyo,Matt Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3.0,3.0,0.0,http://www.ufcstats.com/fighter-details/de62052b2ede65ba
Antonio,Arroyo,Antonio Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9.0,3.0,0.0,http://www.ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles,Arsene,Gilles Arsene,,"5' 9""",190 lbs.,--,Southpaw,1.0,1.0,0.0,http://www.ufcstats.com/fighter-details/2dea80c069847321
Veta,Arteaga,Veta Arteaga,,"5' 7""",125 lbs.,--,,3.0,1.0,0.0,http://www.ufcstats.com/fighter-details/91e3388e69060e69
Cesar,Arzamendia,Cesar Arzamendia,Goku,"5' 11""",155 lbs.,"71.0""",Orthodox,7.0,4.0,0.0,http://www.ufcstats.com/fighter-details/49f78022126bf4a4
Teddy,Ash,Teddy Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14.0,4.0,0.0,http://www.ufcstats.com/fighter-details/a373085066dbfb54
Askar,Askarov,Askar Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,11.0,0.0,1.0,http://www.ufcstats.com/fighter-details/b1d19449397541dc
Cyril,Asker,Cyril Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9.0,4.0,0.0,http://www.ufcstats.com/fighter-details/9be6020024133293
Scott,Askham,Scott Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14.0,4.0,0.0,http://www.ufcstats.com/fighter-details/06827d70c53ff0d9
Ben,Askren,Ben Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19.0,2.0,0.0,http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1
Tom,Aspinall,Tom Aspinall,,"6' 5""",256 lbs.,--,Orthodox,7.0,2.0,0.0,http://www.ufcstats.com/fighter-details/399afbabc02376b5
Bruno,Assis,Bruno Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8.0,3.0,0.0,http://www.ufcstats.com/fighter-details/ff222167cce02919
Junior,Assuncao,Junior Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,13.0,4.0,0.0,http://www.ufcstats.com/fighter-details/d0d7160824278840
Raphael,Assuncao,Raphael Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,27.0,7.0,0.0,http://www.ufcstats.com/fighter-details/2f13e4020cea5b38
Bazigit,Atajev,Bazigit Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17.0,1.0,0.0,http://www.ufcstats.com/fighter-details/fd7acf42bd6e7e95
Rich,Attonito,Rich Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10.0,5.0,0.0,http://www.ufcstats.com/fighter-details/210935fd21670f6d
Olivier,Aubin-Mercier,Olivier Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,12.0,5.0,0.0,http://www.ufcstats.com/fighter-details/55ee431411ccf07a
Pat,Audinwood,Pat Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,9.0,2.0,1.0,http://www.ufcstats.com/fighter-details/196ed28337adc630
Marcus,Aurelio,Marcus Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,21.0,10.0,0.0,http://www.ufcstats.com/fighter-details/04643fd03d9159cc
David,Avellan,David Avellan,,"5' 9""",185 lbs.,--,Orthodox,2.0,1.0,0.0,http://www.ufcstats.com/fighter-details/956dcac65e7b34d6
Blas,Avena,Blas Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,7.0,6.0,0.0,http://www.ufcstats.com/fighter-details/8753e125f4499816
Levi,Avera,Levi Avera,,"6' 1""",170 lbs.,--,,16.0,10.0,0.0,http://www.ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Anthony,Avila,Anthony Avila,,"5' 7""",145 lbs.,--,,6.0,1.0,0.0,http://www.ufcstats.com/fighter-details/033d19259f589457
Chris,Avila,Chris Avila,,"5' 10""",145 lbs.,"72.0""",Orthodox,5.0,4.0,0.0,http://www.ufcstats.com/fighter-details/4665cbf36b08193b
Julia,Avila,Julia Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,7.0,1.0,0.0,http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7
Saad,Awad,Saad Awad,Assassin,"5' 11""",155 lbs.,--,,9.0,5.0,0.0,http://www.ufcstats.com/fighter-details/da603332ad41f165
Javy,Ayala,Javy Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10.0,5.0,0.0,http://www.ufcstats.com/fighter-details/26387c19f32dda0f
Jessin,Ayari,Jessin Ayari,Abacus,"6' 0""",155 lbs.,"73.0""",Orthodox,16.0,5.0,0.0,http://www.ufcstats.com/fighter-details/6eaec40f724852f4
Abu,Azaitar,Abu Azaitar,Gladiator,"5' 9""",185 lbs.,"76.0""",Orthodox,14.0,1.0,1.0,http://www.ufcstats.com/fighter-details/46d0a888d87d91ac
